Latitude,Longitude,Crop,Harvest year,Fertilization CT ,N input,Yield of CT,Sowing month,Harvesting month,P,E,PB,Tave,ST
48.28,-105.1,wheat.winter,1992,Yes,Yes,2567.0,9,20,395.8,534.828,-139.028,5.03333,Loam
48.28,-105.1,wheat.winter,1993,Yes,Yes,2405.0,9,20,260.3,590.273,-329.973,5.79167,Loam
48.28,-105.1,wheat.winter,1994,Yes,Yes,2439.0,9,20,397.3,555.26,-157.96,6.86667,Loam
32.42,-93.64,soybean,2016,Yes,Yes,3005.0,6,10,511.9000053,546.6868881,-34.787,26.15999985,Loam
32.42,-93.64,soybean,2017,Yes,Yes,3062.0,6,10,475.0999966,511.4026107,-36.303,24.96000023,Loam
9.07,38.48,wheat.winter,2009,Yes,Yes,2750.0,11,17,415.4,697.924,-282.524,20.41429,Clay loam
9.07,38.48,wheat.winter,2009,Yes,Yes,3300.0,11,17,415.4,697.924,-282.524,20.41429,Clay loam
9.07,38.48,wheat.winter,2009,Yes,Yes,3490.0,11,17,415.4,697.924,-282.524,20.41429,Clay loam
9.07,38.48,wheat.winter,2010,Yes,Yes,1290.0,11,17,465.0,702.02,-237.02,20.77143,Clay loam
9.07,38.48,wheat.winter,2010,Yes,Yes,1340.0,11,17,465.0,702.02,-237.02,20.77143,Clay loam
9.07,38.48,wheat.winter,2010,Yes,Yes,1370.0,11,17,465.0,702.02,-237.02,20.77143,Clay loam
9.07,38.48,wheat.winter,2011,Yes,Yes,890.0,11,17,283.3,716.554,-433.254,20.71429,Clay loam
9.07,38.48,wheat.winter,2011,Yes,Yes,910.0,11,17,283.3,716.554,-433.254,20.71429,Clay loam
9.07,38.48,wheat.winter,2011,Yes,Yes,1100.0,11,17,283.3,716.554,-433.254,20.71429,Clay loam
28.6,112.6,rice,2017,,,7225.0,3,6,963.1,285.776,677.324,18.55,Clay loam
47.46,-99.12,soybean,1991,No,No,2380.0,5,10,347.1,476.438,-129.338,15.2,Loam
47.46,-99.12,soybean,1991,No,No,2760.0,5,10,347.1,476.438,-129.338,15.2,Loam
47.46,-99.12,soybean,1991,No,No,2760.0,5,10,347.1,476.438,-129.338,15.2,Loam
24.38,90.13,maize,2009,Yes,No,8189.0,6,9,1310.699997,373.6813276,937.019,28.69999933,Loam
24.38,90.13,maize,2010,Yes,No,8488.0,6,9,930.1000137,414.1735998,515.926,29.47500038,Loam
24.38,90.13,maize,2011,Yes,No,8508.0,6,9,776.3999786,417.0355925,359.364,29.125,Loam
24.38,90.13,maize,2009,Yes,No,9066.0,6,9,1310.699997,373.6813276,937.019,28.69999933,Loam
24.38,90.13,maize,2010,Yes,No,9245.0,6,9,930.1000137,414.1735998,515.926,29.47500038,Loam
24.38,90.13,maize,2011,Yes,No,9086.0,6,9,776.3999786,417.0355925,359.364,29.125,Loam
24.38,90.13,maize,2009,Yes,No,8388.0,6,9,1310.699997,373.6813276,937.019,28.69999933,Loam
24.38,90.13,maize,2010,Yes,No,8588.0,6,9,930.1000137,414.1735998,515.926,29.47500038,Loam
24.38,90.13,maize,2011,Yes,No,8747.0,6,9,776.3999786,417.0355925,359.364,29.125,Loam
40.16,16.65,wheat.winter,2010,No,No,4300.0,11,19,713.4,673.444,39.956,20.58889,Loam
40.16,16.65,wheat.winter,2010,Yes,Yes,4000.0,11,19,713.4,673.444,39.956,20.58889,Loam
40.16,16.65,wheat.winter,2010,Yes,Yes,3700.0,11,19,713.4,673.444,39.956,20.58889,Loam
40.16,16.65,wheat.winter,2010,Yes,Yes,3700.0,11,19,713.4,673.444,39.956,20.58889,Loam
40.16,16.65,wheat.winter,2011,No,No,5100.0,11,19,557.0,684.918,-127.918,20.72222,Loam
40.16,16.65,wheat.winter,2011,Yes,Yes,5300.0,11,19,557.0,684.918,-127.918,20.72222,Loam
40.16,16.65,wheat.winter,2011,Yes,Yes,5200.0,11,19,557.0,684.918,-127.918,20.72222,Loam
40.16,16.65,wheat.winter,2011,Yes,Yes,4600.0,11,19,557.0,684.918,-127.918,20.72222,Loam
40.16,16.65,wheat.winter,2012,No,No,6300.0,11,19,467.2,702.472,-235.272,20.75556,Loam
40.16,16.65,wheat.winter,2012,Yes,Yes,6300.0,11,19,467.2,702.472,-235.272,20.75556,Loam
40.16,16.65,wheat.winter,2012,Yes,Yes,6700.0,11,19,467.2,702.472,-235.272,20.75556,Loam
40.16,16.65,wheat.winter,2012,Yes,Yes,6400.0,11,19,467.2,702.472,-235.272,20.75556,Loam
45.42,-73.93,maize,2002,Yes,Yes,5470.0,5,10,555.9,493.022,62.878,15.7,Loam
45.42,-73.93,maize,2002,No,No,2110.0,5,10,555.9,493.022,62.878,15.7,Loam
45.42,-73.93,maize,2003,Yes,Yes,6740.0,5,10,642.0,484.948,157.052,16.16667,Loam
45.42,-73.93,maize,2003,No,No,3390.0,5,10,642.0,484.948,157.052,16.16667,Loam
45.42,-73.93,soybean,2002,Yes,No,2420.0,6,10,427.2,411.484,15.716,16.62,Loam
45.42,-73.93,soybean,2003,Yes,No,3300.0,6,10,510.0,399.759,110.241,16.88,Loam
40.15,-103.15,wheat.winter,1993,Yes,Yes,2234.0,9,19,367.3,634.618,-267.318,9.95455,Loam
40.15,-103.15,wheat.winter,1994,Yes,Yes,1461.0,9,19,568.4,621.364,-52.964,10.16364,Loam
40.15,-103.15,wheat.winter,1995,Yes,Yes,1983.0,9,19,486.6,647.94,-161.339,10.22727,Loam
40.15,-103.15,wheat.winter,1996,Yes,Yes,1608.0,9,19,456.0,638.728,-182.728,9.88182,Loam
40.15,-103.15,wheat.winter,1997,Yes,Yes,1874.0,9,19,419.7,646.077,-226.377,10.3,Loam
40.15,-103.15,wheat.winter,1998,Yes,Yes,1412.0,9,19,509.3,653.766,-144.466,11.20909,Loam
40.15,-103.15,wheat.winter,1999,Yes,Yes,2062.0,9,19,333.6,659.437,-325.837,11.96364,Loam
40.15,-103.15,wheat.winter,2000,Yes,Yes,1294.0,9,19,483.4,645.468,-162.068,10.1,Loam
40.15,-103.15,wheat.winter,2001,Yes,Yes,3058.0,9,19,265.3,637.921,-372.621,11.03636,Loam
40.15,-103.15,wheat.winter,2002,Yes,Yes,1452.0,9,19,446.2,644.107,-197.907,10.72727,Loam
42.94,-92.57,soybean,1996,,,3571.0,5,10,532.6,463.279,69.321,17.43333,Loam
42.94,-92.57,soybean,1996,,,3688.0,5,10,532.6,463.279,69.321,17.43333,Loam
42.94,-92.57,soybean,1997,,,2873.0,5,10,457.5,494.706,-37.206,18.18333,Loam
42.94,-92.57,soybean,1997,,,2849.0,5,10,457.5,494.706,-37.206,18.18333,Loam
42.94,-92.57,soybean,1995,,,2281.0,5,10,438.1,502.598,-64.498,18.35,Loam
42.94,-92.57,soybean,1995,,,2240.0,5,10,438.1,502.598,-64.498,18.35,Loam
44.31,-96.79,maize,2005,Yes,Yes,8659.0,5,10,503.5,541.433,-37.933,17.8,Loam
44.31,-96.79,maize,2005,Yes,Yes,3845.0,5,10,503.5,541.433,-37.933,17.8,Loam
44.31,-96.79,maize,2006,Yes,Yes,8442.0,5,10,372.1999984,542.5349577,-170.335,16.83333341,Loam
44.31,-96.79,maize,2006,Yes,Yes,4893.0,5,10,372.1999984,542.5349577,-170.335,16.83333341,Loam
41.8,1.12,barley.winter,1997,Mix,Mix,3358.0,12,18,342.2,481.439,-139.239,16.25714,Loam
